id,rpid,mid,bv,aid,nickname,level,avatar,comment_time,message,root,parent
1,172256286768,274955688,BV16k4y1T7qe,742798870,阿兰锅,3,https://i0.hdslb.com/bfs/face/3a3704307c9821246f81b3cc0e4cb948b96ca74c.jpg,2023-06-29 07:17:30,感谢帅师傅这三个月专业，耐心的教导[脱单doge]我会努力保持下去的！,0,0
2,172257281840,66391032,BV16k4y1T7qe,742798870,帅soserious,6,http://i0.hdslb.com/bfs/face/40a663bb18e9064a97901b96aaf7d84d8056e98b.jpg,2023-06-29 07:44:25,接下来不管你了！看你能坚持多久[doge],172256286768,172256286768
3,172274570544,274955688,BV16k4y1T7qe,742798870,阿兰锅,3,https://i0.hdslb.com/bfs/face/3a3704307c9821246f81b3cc0e4cb948b96ca74c.jpg,2023-06-29 11:20:57,回复 @帅soserious :自我监督[脱单doge]继续努力[滑稽],172256286768,172257281840
4,172234195280,3494369510295564,BV16k4y1T7qe,742798870,清风一斗_,2,https://i0.hdslb.com/bfs/face/member/noface.jpg,2023-06-29 00:46:39,求完整训练计划和饮食计划（兄弟们顶我上去）[脱单doge][脱单doge][脱单doge],0,0
5,172317296864,4431948,BV16k4y1T7qe,742798870,总有一天会知道的,6,https://i0.hdslb.com/bfs/face/7622fe500d64cac1ba2b7311a25ef904d2311551.jpg,2023-06-29 16:40:31,缺个饮食计划,172234195280,172234195280
6,172322779920,99444921,BV16k4y1T7qe,742798870,一个人的似水年华,4,http://i0.hdslb.com/bfs/face/41b59c8cb47ce70eb7686ceb2f4601503894636f.jpg,2023-06-29 17:25:20,求计划的兄弟们 先学他坚持30天都运动40分钟再去做训练和饮食计划 你没养成习惯就求计划没必要,172234195280,172234195280
7,172728484176,314607992,BV16k4y1T7qe,742798870,流沙血,3,http://i2.hdslb.com/bfs/face/6ba57f41f6800ddf088f5e0065a8e67cba1b5f41.jpg,2023-07-02 00:47:42,回复 @一个人的似水年华 :我一天一小时，坚持五天了,172234195280,172322779920
8,172203700800,3494357151779129,BV16k4y1T7qe,742798870,账号已注销,0,https://i0.hdslb.com/bfs/face/member/noface.jpg,2023-06-28 21:39:03,家人们一定要分清楚大佬刷脂和新手健身,0,0
9,172205506560,46075992,BV16k4y1T7qe,742798870,巨无霸草莓萝莉莉,5,http://i0.hdslb.com/bfs/face/8b8c054cd3e94aabe1deb77267d84712676ff50c.jpg,2023-06-28 21:51:54,对啊，说的不好听就是摆拍,172203700800,172203700800
10,172219792192,1866142,BV16k4y1T7qe,742798870,Tashkent_Off,6,https://i1.hdslb.com/bfs/face/8bc13cc9eb1bc045e825ba6e5695df4efebc397c.jpg,2023-06-28 23:20:03,看到身高体重以及能做出引体向上就知道了，根本不是新手[笑哭],172203700800,172203700800
11,172219793888,281697114,BV16k4y1T7qe,742798870,万能马岱,5,https://i0.hdslb.com/bfs/face/f5838be1f816187920ecab786c9452992b6ad3c6.jpg,2023-06-28 23:20:05,确实，这个脂肪下面明显就有底子,172203700800,172203700800
12,172155368288,154113956,BV16k4y1T7qe,742798870,日向源,6,https://i2.hdslb.com/bfs/face/af84c1e8c480b7affe71d989104776f586a855b4.jpg,2023-06-28 15:58:26,汉堡里有蔬菜[doge],0,0
13,172156967056,475518087,BV16k4y1T7qe,742798870,半兮烟雨情-,5,https://i0.hdslb.com/bfs/face/50765de278bb4df17e37d602ad3e07423c0e06da.jpg,2023-06-28 16:11:08,[热词系列_大师球]捉,172155368288,172155368288
14,172174242848,283363084,BV16k4y1T7qe,742798870,Girkir,5,https://i1.hdslb.com/bfs/face/c4f7f65e2f9b07cfc4eb75acfcf5e81ab832b880.jpg,2023-06-28 18:28:21,多吃两个汉堡不就相当于一小盘蔬菜了[OK],172155368288,172155368288
15,172213979104,284900858,BV16k4y1T7qe,742798870,如意顺安,6,https://i2.hdslb.com/bfs/face/4c6acf4285ae86ca1ba8d90e8fbaa2fc7a4496e4.jpg,2023-06-28 22:44:08,回复 @Girkir : 根本难不倒你！,172155368288,172174242848
16,172155866288,131306111,BV16k4y1T7qe,742798870,KevSAMA96,5,https://i0.hdslb.com/bfs/face/member/noface.jpg,2023-06-28 16:02:54,这个视频确实激励我了，前两天去跑步发现呼吸跟不上了。我毕业后保持运动瘦到了64，现在因为工作经常要加班，导致饮食不规律等等体重突破了以前的上线达到了84左右，身高172，重来没做过健身计划的我打算也试试看90天计划挑战，如果坚持下来了，100天后见，在此立好flag了,0,0
17,172157180816,31058486,BV16k4y1T7qe,742798870,该帐号已被和谐,6,https://i2.hdslb.com/bfs/face/328bb38be2d334021595079c030e8830b615ca6a.jpg,2023-06-28 16:14:10,我87的时候先走路了十天复健，然后开始跑。现在70目标65[捂眼],172155866288,172155866288
18,172167280848,14445507,BV16k4y1T7qe,742798870,君盛丶,6,https://i0.hdslb.com/bfs/face/f6c575bd39db4392bab0f520437be313a5540700.jpg,2023-06-28 17:36:37,我超，世界上的另一个我。我和你身高一样，体重之前达到了166斤，也是忙着备考没时间，后面差不多三个月回到了135左右，后面就有点难减了，现在又忙又胖回来了[大哭],172155866288,172155866288
19,172177226320,12921467,BV16k4y1T7qe,742798870,小墨点点,6,https://i2.hdslb.com/bfs/face/90c2ca1d56159636b8f8bbdccf0a6f9630b77baf.jpg,2023-06-28 18:49:34,大哥，你别，健身是要持续的，要长时间改变自己生活习惯的，是要养成更好的作息饮食运动规律的，别给自己顶突击的计划，咱养成个可持续的习惯比啥都强，90天，也就是一个小阶段目标，减脂期起码延长到一两年才是健康可持续的，健康一辈子更重要，目标定的踏实一点才可持续，悠悠球式的减脂又反弹很不健康的。,172155866288,172155866288
20,172177932944,66391032,BV16k4y1T7qe,742798870,帅soserious,6,http://i0.hdslb.com/bfs/face/40a663bb18e9064a97901b96aaf7d84d8056e98b.jpg,2023-06-28 18:54:16,下次带一个人增肌！(当然我自己得先增一圈[doge]),0,0
21,172179358672,351707323,BV16k4y1T7qe,742798870,zuizchen,5,https://i1.hdslb.com/bfs/face/a18fe47d04ffb5e9e86034df6834cc005a2fa667.jpg,2023-06-28 19:04:35,三小时前在美国，九分钟前在上海[辣眼睛],172177932944,172177932944
22,172200804624,12093868,BV16k4y1T7qe,742798870,腐爛飛行員,6,https://i1.hdslb.com/bfs/face/3bd296aaa964a3eb19be888d742df34a8cfd3df1.jpg,2023-06-28 21:19:51,回复 @zuizchen :国内也有运营人员吧,172177932944,172179358672
23,172194329104,590159862,BV16k4y1T7qe,742798870,一个懒人2233,4,https://i0.hdslb.com/bfs/face/member/noface.jpg,2023-06-28 20:38:47,各位别想了，他本身体格就大，有一定肌肉基础的（很可能天生就是这样的），90天只是减脂，根本没有增肌多少，但他只是减脂下来的身材就是我的理想型啊呜呜呜[大哭][大哭]，人与人的差距真的比狗还大[捂脸],0,0
24,172245478992,4816445,BV16k4y1T7qe,742798870,呸啪啪啪,6,http://i2.hdslb.com/bfs/face/67eb14bb657316620598f45886b216816214cb5d.jpg,2023-06-29 02:21:12,我也觉得，本身应该就是脂包肌那种,172194329104,172194329104
25,172393051120,283362655,BV16k4y1T7qe,742798870,傲娇的你十三爷,5,https://i1.hdslb.com/bfs/face/e028622c9077b16de5f9ec74093577814e8f08de.jpg,2023-06-30 00:46:47,回复 @呸啪啪啪 :人家有打篮球爱好的肌肉一般不会少,172194329104,172245478992
26,172449190272,14912462,BV16k4y1T7qe,742798870,尘埃已已,4,https://i2.hdslb.com/bfs/face/3ed284a3af57d6d8efb5ff5b6265de5def528cae.jpg,2023-06-30 13:03:34,回复 @呸啪啪啪 : 啥本身 人家有打篮球啊 你不会想啥都不干自动自带肌肉吧,172194329104,172245478992
27,172199677664,10974816,BV16k4y1T7qe,742798870,宇宙超级无敌夏洛特,5,http://i0.hdslb.com/bfs/face/e32027e5ad494bf490326f5a6f8d58e241e98a2b.jpg,2023-06-28 21:13:30,你好，能把男朋友寄过去吗,0,0
28,172880145728,504128700,BV16k4y1T7qe,742798870,孕产普拉提老师张自律,3,https://i0.hdslb.com/bfs/face/member/noface.jpg,2023-07-02 22:39:09,这个很简单，照着网上视频练就行😂,172199677664,172199677664
29,172892857600,601564292,BV16k4y1T7qe,742798870,两幸情感客程,2,https://i2.hdslb.com/bfs/face/c1122fc99aa3df6c6aa7dedd40188a22f489f372.jpg,2023-07-02 23:49:21,[滑稽],172199677664,172199677664
30,172176942000,9112600,BV16k4y1T7qe,742798870,妖姬不是漂亮小姐姐,6,https://i1.hdslb.com/bfs/face/024c3a7339e18e00233635bee084a9210eaadf5d.jpg,2023-06-28 18:48:10,"1，力量训练前是有测试基础的，可以看到引体没达到初中标准。
2，从90天体脂测量可以看到，增肌量是符合正常范围的。
3，这个阶段我们一般叫做新手福利期。
4，饮食控制得非常好，是量化的。
5，补充4一般人没他这么好，主要还是饮食控制不够，效果没这么“夸张”。
6，他这个效果对于没有训练经验的人来说，确实挺“夸张”的。
7，训练的片段从动作来看是确实应该是零基础，所以初期选用的固定器械。",0,0
31,172248253760,480563567,BV16k4y1T7qe,742798870,纪若尘_,5,https://i2.hdslb.com/bfs/face/61174362913cf5e2b80cf59b5344803b183129e3.jpg,2023-06-29 02:58:02,他的引体向上严格意义说根本就没有完成，如果只拉半程算一个那挺多人可以做到的，说他是0经验的新手一点不过分，评论区真的少见多怪了。,172176942000,172176942000
32,172396427408,391792604,BV16k4y1T7qe,742798870,hsdmoo,5,https://i2.hdslb.com/bfs/face/7f22fdfd8b619a4be62c40258dc08e20ffaec25e.jpg,2023-06-30 01:09:26,他能成功最重要就是up主给他的十分精确专业的饮食与运动计划和监督，绝大部分人减肥/减脂可没有这个帮助,172176942000,172176942000
33,172445441952,91021836,BV16k4y1T7qe,742798870,Advanced_Man,6,https://i0.hdslb.com/bfs/face/eb3a9746ade2f805cf2cf3a5807d7de5db112ba7.jpg,2023-06-30 12:37:35,回复 @纪若尘_ :评论区那些人只是不愿意承认自己这么久以来都太懒了而已，非要说他有基础来安慰自己,172176942000,172248253760
34,172178537296,199378991,BV16k4y1T7qe,742798870,舰长不要偷懒喵-,5,http://i2.hdslb.com/bfs/face/72f8bd64859f3086e12b789fe7dc4eac7f2c4817.jpg,2023-06-28 18:58:26,"我已经减下来了 173从年初160减到现在130，最开始只是想减脂，现在开始对胸肌感兴趣了[脱单doge]
我是细狗，从小就不爱运动，最开始卧推推个杆都费劲，前几天已经迈入50kg大关了。
虽然没有训练痕迹，但我仍在努力。广东的小伙伴有没有一起健身减脂的，搭个伴运动起来才有动力。[脱单doge]",0,0
35,172179509344,156819325,BV16k4y1T7qe,742798870,自奏sheng乐,5,https://i1.hdslb.com/bfs/face/19f4730a98f626a2d15398e793c22dab4e829ee6.jpg,2023-06-28 19:05:04,可以一起健身啊,172178537296,172178537296
36,172645176272,13709087,BV16k4y1T7qe,742798870,何事秋啊秋,6,https://i2.hdslb.com/bfs/face/981cdb57889c5d502483321cd72433fe422543d9.jpg,2023-07-01 15:57:15,整个交流群不[灵魂出窍]刚开始接触健身一个人贼容易偷懒,172178537296,172178537296
37,172660715792,199378991,BV16k4y1T7qe,742798870,舰长不要偷懒喵-,5,http://i2.hdslb.com/bfs/face/72f8bd64859f3086e12b789fe7dc4eac7f2c4817.jpg,2023-07-01 17:53:10,回复 @何事秋啊秋 :[脱单doge]没多少人吧感觉 可以先加好友,172178537296,172645176272
38,172246886848,355899965,BV16k4y1T7qe,742798870,绫小路清隆---,5,https://i2.hdslb.com/bfs/face/60decdb02736e67fd33841329019b35bf797617f.jpg,2023-06-29 02:38:27,那个，没有肉要怎么办，我的烦恼是瘦[笑哭],0,0
39,172247253264,635892373,BV16k4y1T7qe,742798870,力枝口,4,https://i1.hdslb.com/bfs/face/d6120c167d4ac5da4c00348caf1e3c4cabfc169f.jpg,2023-06-29 02:44:36,少吃多动,172246886848,172246886848
40,172344301936,355899965,BV16k4y1T7qe,742798870,绫小路清隆---,5,https://i2.hdslb.com/bfs/face/60decdb02736e67fd33841329019b35bf797617f.jpg,2023-06-29 19:52:12,回复 @力枝口 :？？我是说要增肉，太瘦了要增肥，怎么吃都吃不胖[笑哭],172246886848,172247253264
41,172173633504,8038728,BV16k4y1T7qe,742798870,your_lobster,5,http://i0.hdslb.com/bfs/face/43a39b7f7890b40448182cc66941db104d0c66cc.jpg,2023-06-28 18:24:06,他的起点比我高很多[藏狐]我就当个精神氮泵看好了，我估计得再花两到三个月才能达到他开始计划前的状态,0,0
